Date,Close,Open,High,Low,Vol.,Change %
"Oct 18, 2022",6.16,6.25,6.3,6.07,7.95M,-1.44%
"Oct 17, 2022",6.25,6.19,6.28,6.12,6.77M,0.97%
"Oct 16, 2022",6.19,6.05,6.25,6.04,5.07M,2.31%
"Oct 15, 2022",6.05,6.05,6.1,6.02,3.54M,0.14%
"Oct 14, 2022",6.041,6.12,6.26,6.01,54.44M,-1.13%
"Oct 13, 2022",6.11,6.18,6.18,5.709,15.40M,-1.13%
"Oct 12, 2022",6.18,6.17,6.25,6.14,4.88M,0.16%
"Oct 11, 2022",6.17,6.26,6.26,6.14,6.71M,-1.42%
"Oct 10, 2022",6.259,6.48,6.54,6.24,4.08M,-3.40%
"Oct 09, 2022",6.48,6.31,6.5,6.28,5.08M,2.69%
"Oct 08, 2022",6.31,6.33,6.39,6.27,3.01M,-0.32%
"Oct 07, 2022",6.33,6.34,6.39,6.26,6.11M,-0.16%
"Oct 06, 2022",6.34,6.44,6.52,6.315,8.71M,-1.55%
"Oct 05, 2022",6.44,6.5,6.51,6.28,8.83M,-0.77%
"Oct 04, 2022",6.49,6.36,6.53,6.34,8.54M,2.04%
"Oct 03, 2022",6.36,6.15,6.4,6.1,10.24M,3.42%
"Oct 02, 2022",6.15,6.27,6.33,6.14,7.79M,-1.91%
"Oct 01, 2022",6.27,6.32,6.34,6.22,7.04M,-0.79%
"Sep 30, 2022",6.32,6.44,6.57,6.21,16.44M,-1.86%
"Sep 29, 2022",6.44,6.39,6.48,6.27,11.38M,0.78%
"Sep 28, 2022",6.39,6.36,6.47,6.18,11.25M,0.39%
"Sep 27, 2022",6.365,6.56,6.8,6.25,29.42M,-2.97%
"Sep 26, 2022",6.56,6.2,6.58,6.17,17.41M,5.81%
"Sep 25, 2022",6.2,6.27,6.37,6.09,7.67M,-1.12%
"Sep 24, 2022",6.27,6.44,6.51,6.24,8.15M,-2.64%
"Sep 23, 2022",6.44,6.45,6.64,6.2,18.30M,-0.15%
"Sep 22, 2022",6.45,6.13,6.52,6.08,12.34M,5.21%
"Sep 21, 2022",6.13,6.29,6.56,5.97,20.17M,-2.54%
"Sep 20, 2022",6.29,6.38,6.42,6.18,11.34M,-1.42%
"Sep 19, 2022",6.38,6.44,6.56,6.12,18.98M,-0.93%
"Sep 18, 2022",6.44,7.06,7.06,6.389,16.10M,-8.78%
"Sep 17, 2022",7.06,6.91,7.16,6.9,8.11M,2.18%
"Sep 16, 2022",6.909,6.93,6.97,6.72,6.54M,-0.30%
"Sep 15, 2022",6.93,7.2,7.23,6.88,15.39M,-3.75%
"Sep 14, 2022",7.2,7.06,7.29,7.04,12.02M,1.98%
"Sep 13, 2022",7.06,7.66,7.93,7.04,19.17M,-7.83%
"Sep 12, 2022",7.66,7.69,8.04,7.57,18.23M,-0.39%
"Sep 11, 2022",7.69,7.78,7.88,7.56,9.30M,-1.03%
"Sep 10, 2022",7.77,7.75,7.88,7.59,9.94M,0.26%
"Sep 09, 2022",7.75,7.381,7.93,7.36,19.60M,5.01%
"Sep 08, 2022",7.38,7.19,7.45,7.06,12.68M,2.64%
"Sep 07, 2022",7.19,6.87,7.29,6.77,11.80M,4.66%
"Sep 06, 2022",6.87,7.37,7.69,6.85,16.62M,-6.78%
"Sep 05, 2022",7.37,7.37,7.63,7.27,10.64M,0.00%
"Sep 04, 2022",7.37,7.28,7.39,7.17,7.69M,1.23%
"Sep 03, 2022",7.28,7.29,7.31,7.18,5.97M,-0.14%
"Sep 02, 2022",7.29,7.18,7.56,7.12,12.04M,1.53%
"Sep 01, 2022",7.18,7.03,7.2,6.87,9.31M,2.14%
"Aug 31, 2022",7.03,7,7.28,6.99,8.92M,0.43%
"Aug 30, 2022",7,7.28,7.37,6.899,10.33M,-3.85%
"Aug 29, 2022",7.28,6.86,7.3,6.81,10.10M,6.28%
"Aug 28, 2022",6.85,7.05,7.15,6.82,5.88M,-2.83%
"Aug 27, 2022",7.049,6.93,7.1,6.8,4.71M,1.73%
"Aug 26, 2022",6.93,7.58,7.68,6.879,12.49M,-8.58%
"Aug 25, 2022",7.58,7.56,7.76,7.47,6.10M,0.26%
"Aug 24, 2022",7.56,7.64,7.75,7.43,7.63M,-1.04%
"Aug 23, 2022",7.64,7.41,7.71,7.19,9.98M,3.10%
"Aug 22, 2022",7.41,7.44,7.45,7,8.84M,-0.40%
"Aug 21, 2022",7.44,7.221,7.53,7.16,6.25M,3.04%
"Aug 20, 2022",7.221,7.311,7.52,7.04,9.73M,-1.26%
"Aug 19, 2022",7.313,8.08,8.09,7.25,9.09M,-9.50%
"Aug 18, 2022",8.08,8.37,8.57,8.058,9.38M,-3.46%
"Aug 17, 2022",8.37,8.84,9.17,8.32,14.05M,-5.32%
"Aug 16, 2022",8.84,8.78,8.93,8.64,10.66M,0.68%
"Aug 15, 2022",8.781,8.96,9.38,8.64,7.73M,-1.90%
"Aug 14, 2022",8.95,9.3,9.56,8.83,6.62M,-3.77%
"Aug 13, 2022",9.301,9.48,9.67,9.25,5.25M,-1.89%
"Aug 12, 2022",9.48,9.2,9.5,9.04,12.45M,3.04%
"Aug 11, 2022",9.2,9.516,9.64,9.13,18.30M,-3.31%
"Aug 10, 2022",9.515,8.9,9.65,8.54,73.63M,6.90%
"Aug 09, 2022",8.901,9.27,9.44,8.67,10.18M,-3.99%
"Aug 08, 2022",9.27,8.65,9.37,8.64,21.46M,7.17%
"Aug 07, 2022",8.65,8.51,8.92,8.36,9.92M,1.65%
"Aug 06, 2022",8.51,8.8,8.87,8.49,11.43M,-3.40%
"Aug 05, 2022",8.81,8.08,8.82,8.07,17.25M,9.02%
"Aug 04, 2022",8.081,8,8.27,7.89,5.63M,1.01%
"Aug 03, 2022",8,7.93,8.421,7.69,15.49M,0.89%
"Aug 02, 2022",7.93,8.171,8.27,7.69,20.77M,-3.30%
"Aug 01, 2022",8.2,8.63,8.96,8.05,20.23M,-4.98%
"Jul 31, 2022",8.63,8.21,9.2,8.08,25.79M,5.12%
"Jul 30, 2022",8.21,8.17,8.81,8.16,22.38M,0.48%
"Jul 29, 2022",8.17,7.86,8.411,7.77,24.14M,3.95%
"Jul 28, 2022",7.86,7.68,8.05,7.47,24.88M,2.34%
"Jul 27, 2022",7.68,6.78,7.681,6.65,17.55M,13.27%
"Jul 26, 2022",6.78,6.75,6.78,6.53,13.65M,0.16%
"Jul 25, 2022",6.769,7.4,7.44,6.74,7.81M,-8.53%
"Jul 24, 2022",7.4,7.33,7.58,7.31,9.96M,0.96%
"Jul 23, 2022",7.33,7.29,7.49,7.099,9.47M,0.55%
"Jul 22, 2022",7.29,7.52,7.85,7.26,14.90M,-3.07%
"Jul 21, 2022",7.521,7.46,7.59,7.19,13.30M,0.81%
"Jul 20, 2022",7.46,7.79,8.07,7.389,25.28M,-4.24%
"Jul 19, 2022",7.79,7.67,8.01,7.51,29.93M,1.56%
"Jul 18, 2022",7.67,6.91,7.71,6.9,26.11M,11.00%
"Jul 17, 2022",6.91,7.199,7.32,6.89,10.63M,-4.02%
"Jul 16, 2022",7.199,6.79,7.22,6.56,13.38M,6.03%
"Jul 15, 2022",6.79,6.729,6.98,6.66,12.93M,0.91%
"Jul 14, 2022",6.729,6.47,6.769,6.29,11.98M,4.01%
"Jul 13, 2022",6.47,6.279,6.53,6.049,14.75M,3.04%
"Jul 12, 2022",6.279,6.53,6.63,6.269,10.34M,-3.83%
"Jul 11, 2022",6.529,6.86,6.9,6.51,5.43M,-4.81%
"Jul 10, 2022",6.86,7.25,7.26,6.77,9.33M,-5.39%
"Jul 09, 2022",7.25,7.049,7.36,7.04,7.33M,2.84%
"Jul 08, 2022",7.05,7.3,7.46,6.95,13.93M,-3.44%
"Jul 07, 2022",7.301,6.92,7.35,6.89,6.48M,5.50%
"Jul 06, 2022",6.92,6.84,7,6.7,11.97M,1.17%
"Jul 05, 2022",6.84,7.17,7.21,6.649,16.84M,-4.60%
"Jul 04, 2022",7.17,6.859,7.2,6.67,10.06M,4.52%
"Jul 03, 2022",6.859,6.829,6.98,6.62,6.40M,0.44%
"Jul 02, 2022",6.829,6.739,6.909,6.63,6.52M,1.36%
"Jul 01, 2022",6.738,7.06,7.23,6.55,7.97M,-4.56%
"Jun 30, 2022",7.06,7.03,7.1,6.659,14.19M,0.43%
"Jun 29, 2022",7.03,7.31,7.44,6.969,14.47M,-3.83%
"Jun 28, 2022",7.31,7.73,8,7.269,12.64M,-5.42%
"Jun 27, 2022",7.729,7.83,8.2,7.718,5.02M,-1.29%
"Jun 26, 2022",7.83,8.129,8.48,7.819,9.92M,-3.78%
"Jun 25, 2022",8.138,8.18,8.35,7.79,4.23M,-0.63%
"Jun 24, 2022",8.189,7.78,8.339,7.73,6.04M,5.25%
"Jun 23, 2022",7.781,7.39,7.82,7.39,5.22M,5.30%
"Jun 22, 2022",7.389,7.77,7.81,7.35,5.80M,-4.66%
"Jun 21, 2022",7.75,7.88,8.27,7.69,13.44M,-1.64%
"Jun 20, 2022",7.879,7.529,8.02,7.18,8.58M,4.65%
"Jun 19, 2022",7.529,7.04,7.639,6.77,15.42M,6.95%
"Jun 18, 2022",7.04,7.279,7.41,6.479,21.86M,-3.26%
"Jun 17, 2022",7.277,7.129,7.45,7.04,7.05M,2.08%
"Jun 16, 2022",7.129,8.509,8.54,6.988,24.94M,-16.21%
"Jun 15, 2022",8.508,7.37,8.729,6.849,20.59M,15.46%
"Jun 14, 2022",7.369,7.04,7.55,6.68,15.30M,4.68%
"Jun 13, 2022",7.04,7.4,7.48,6.389,39.22M,-4.86%
"Jun 12, 2022",7.4,8.03,8.1,7.399,19.38M,-7.84%
"Jun 11, 2022",8.029,8.65,8.85,7.94,14.04M,-7.26%
"Jun 10, 2022",8.657,9.239,9.37,8.606,52.14M,-6.30%
"Jun 09, 2022",9.239,9,9.46,8.91,10.13M,2.66%
"Jun 08, 2022",9,9.221,9.4,8.9,7.88M,-2.39%
"Jun 07, 2022",9.221,9.5,9.51,8.84,10.88M,-2.94%
"Jun 06, 2022",9.5,9.348,9.93,9.32,10.46M,1.64%
"Jun 05, 2022",9.347,9.438,9.549,9.259,2.87M,-0.98%
"Jun 04, 2022",9.44,9.37,9.559,9.15,19.84M,0.74%
"Jun 03, 2022",9.37,9.88,9.92,9.22,10.81M,-5.16%
"Jun 02, 2022",9.88,9.46,10.05,9.31,12.15M,4.45%
"Jun 01, 2022",9.459,10.35,10.73,9.26,21.44M,-8.61%
"May 31, 2022",10.35,10.47,10.64,9.97,18.26M,-1.15%
"May 30, 2022",10.47,9.98,10.77,9.91,17.84M,4.91%
"May 29, 2022",9.98,9.65,10.01,9.34,12.11M,3.42%
"May 28, 2022",9.65,9.109,9.78,8.97,12.36M,5.93%
"May 27, 2022",9.109,9.152,9.99,8.58,34.05M,-0.39%
"May 26, 2022",9.145,9.87,10,8.859,42.01M,-7.35%
"May 25, 2022",9.87,10.19,10.33,9.8,13.82M,-3.14%
"May 24, 2022",10.19,9.879,10.27,9.58,14.35M,3.15%
"May 23, 2022",9.878,10.16,10.73,9.81,10.50M,-2.87%
"May 22, 2022",10.17,9.999,10.33,9.87,9.38M,1.71%
"May 21, 2022",9.999,9.67,10.1,9.49,4.34M,3.41%
"May 20, 2022",9.669,10.03,10.24,9.459,17.06M,-3.60%
"May 19, 2022",10.03,9.48,10.4,9.24,21.36M,5.81%
"May 18, 2022",9.48,11.04,11.16,9.459,11.38M,-14.13%
"May 17, 2022",11.04,10.629,11.33,10.45,18.05M,3.96%
"May 16, 2022",10.619,11.809,11.81,10.38,10.82M,-9.92%
"May 15, 2022",11.789,11.29,11.84,10.61,22.84M,4.44%
"May 14, 2022",11.288,10.459,11.539,9.779,16.84M,7.93%
