Date,Close,Open,High,Low,Vol.,Change %
"Nov 14, 2022",0.5899,0.5904,0.6088,0.5482,54.31M,-0.08%
"Nov 13, 2022",0.5904,0.5943,0.6585,0.572,66.67M,-0.66%
"Nov 12, 2022",0.5943,0.6357,0.6364,0.5876,34.97M,-6.51%
"Nov 11, 2022",0.6357,0.673,0.6783,0.6051,35.68M,-5.56%
"Nov 10, 2022",0.6731,0.5657,0.684,0.5584,61.06M,18.98%
"Nov 09, 2022",0.5657,0.7125,0.7184,0.5532,89.17M,-20.60%
"Nov 08, 2022",0.7125,0.8409,0.8624,0.6066,95.98M,-15.27%
"Nov 07, 2022",0.8409,0.8459,0.8605,0.8184,36.14M,-0.60%
"Nov 06, 2022",0.8459,0.9138,0.9197,0.8393,32.91M,-7.43%
"Nov 05, 2022",0.9138,0.8873,0.982,0.8873,83.65M,3.00%
"Nov 04, 2022",0.8872,0.8103,0.8932,0.8066,45.29M,9.48%
"Nov 03, 2022",0.8104,0.812,0.8486,0.8028,38.85M,-0.13%
"Nov 02, 2022",0.8115,0.86,0.8625,0.7917,41.39M,-5.64%
"Nov 01, 2022",0.86,0.8731,0.9161,0.86,39.50M,-1.50%
"Oct 31, 2022",0.8731,0.8607,0.9118,0.8493,57.22M,1.39%
"Oct 30, 2022",0.8611,0.8115,0.9414,0.8023,104.05M,6.11%
"Oct 29, 2022",0.8115,0.7974,0.833,0.7965,30.47M,1.77%
"Oct 28, 2022",0.7974,0.7716,0.8054,0.7617,18.72M,3.34%
"Oct 27, 2022",0.7716,0.7782,0.8204,0.7659,30.71M,-0.86%
"Oct 26, 2022",0.7783,0.7616,0.7869,0.7575,22.31M,2.19%
"Oct 25, 2022",0.7616,0.7352,0.7806,0.7337,20.52M,3.59%
"Oct 24, 2022",0.7352,0.7609,0.7644,0.7286,14.34M,-3.38%
"Oct 23, 2022",0.7609,0.7439,0.7634,0.7287,14.69M,2.28%
"Oct 22, 2022",0.7439,0.7413,0.7462,0.729,8.07M,0.35%
"Oct 21, 2022",0.7413,0.7232,0.7455,0.6998,16.37M,2.50%
"Oct 20, 2022",0.7232,0.7313,0.75,0.718,11.43M,-1.11%
"Oct 19, 2022",0.7313,0.7719,0.775,0.728,13.68M,-5.28%
"Oct 18, 2022",0.772,0.7907,0.8045,0.758,14.53M,-2.36%
"Oct 17, 2022",0.7907,0.7773,0.7948,0.7712,12.14M,1.72%
"Oct 16, 2022",0.7773,0.76,0.7867,0.7585,11.75M,2.27%
"Oct 15, 2022",0.76,0.7527,0.7778,0.7509,12.42M,0.98%
"Oct 14, 2022",0.7527,0.763,0.7965,0.7452,17.00M,-1.35%
"Oct 13, 2022",0.763,0.7784,0.7802,0.6956,39.19M,-1.98%
"Oct 12, 2022",0.7784,0.779,0.7884,0.7743,8.95M,-0.08%
"Oct 11, 2022",0.779,0.8052,0.8052,0.7722,31.62M,-3.24%
"Oct 10, 2022",0.8051,0.8357,0.8416,0.8047,12.83M,-3.66%
"Oct 09, 2022",0.8357,0.8291,0.8379,0.8254,7.98M,0.79%
"Oct 08, 2022",0.8291,0.8356,0.8416,0.8209,8.39M,-0.78%
"Oct 07, 2022",0.8356,0.8413,0.8463,0.8245,15.22M,-0.68%
"Oct 06, 2022",0.8413,0.8606,0.8716,0.8373,23.39M,-2.25%
"Oct 05, 2022",0.8606,0.8505,0.8741,0.8356,25.56M,1.19%
"Oct 04, 2022",0.8505,0.8306,0.8536,0.8275,16.45M,2.40%
"Oct 03, 2022",0.8306,0.8131,0.8345,0.8013,19.68M,2.15%
"Oct 02, 2022",0.8131,0.836,0.8393,0.8107,14.48M,-2.74%
"Oct 01, 2022",0.836,0.8431,0.8468,0.8296,9.45M,-0.84%
"Sep 30, 2022",0.8431,0.8525,0.867,0.8334,20.58M,-1.10%
"Sep 29, 2022",0.8525,0.8473,0.8574,0.8271,18.56M,0.61%
"Sep 28, 2022",0.8473,0.8451,0.8558,0.8141,21.57M,0.26%
"Sep 27, 2022",0.8451,0.8591,0.8899,0.833,29.52M,-1.63%
"Sep 26, 2022",0.8591,0.8633,0.8692,0.8356,24.27M,-0.52%
"Sep 25, 2022",0.8636,0.8872,0.9,0.8513,23.13M,-2.72%
"Sep 24, 2022",0.8878,0.9227,0.9465,0.8828,30.85M,-3.78%
"Sep 23, 2022",0.9227,0.8937,0.9375,0.85,54.16M,3.25%
"Sep 22, 2022",0.8937,0.8145,0.8983,0.8113,32.01M,9.49%
"Sep 21, 2022",0.8162,0.8421,0.8865,0.8025,35.06M,-3.07%
"Sep 20, 2022",0.8421,0.8566,0.8652,0.833,22.81M,-1.69%
"Sep 19, 2022",0.8566,0.8287,0.8611,0.8119,29.62M,3.36%
"Sep 18, 2022",0.8287,0.911,0.9177,0.8127,30.77M,-9.03%
"Sep 17, 2022",0.911,0.8768,0.915,0.8736,15.71M,3.90%
"Sep 16, 2022",0.8768,0.8576,0.8796,0.8458,18.77M,2.24%
"Sep 15, 2022",0.8576,0.8984,0.8986,0.8513,28.96M,-4.54%
"Sep 14, 2022",0.8984,0.8793,0.9033,0.8698,20.85M,2.17%
"Sep 13, 2022",0.8793,0.9592,0.9722,0.873,49.09M,-8.33%
"Sep 12, 2022",0.9592,0.9748,0.9987,0.9507,31.50M,-1.60%
"Sep 11, 2022",0.9748,0.9871,0.9952,0.9565,23.46M,-1.25%
"Sep 10, 2022",0.9871,0.9789,1.0245,0.9667,36.24M,0.77%
"Sep 09, 2022",0.9796,0.9147,0.995,0.914,33.76M,7.10%
"Sep 08, 2022",0.9147,0.9025,0.9183,0.8887,19.14M,1.35%
"Sep 07, 2022",0.9025,0.8793,0.9105,0.8527,28.14M,2.64%
"Sep 06, 2022",0.8793,0.957,0.9775,0.8729,46.27M,-8.12%
"Sep 05, 2022",0.957,0.9724,0.9859,0.9372,42.34M,-1.58%
"Sep 04, 2022",0.9724,0.9296,0.9768,0.9208,28.15M,4.60%
"Sep 03, 2022",0.9296,0.9304,0.9319,0.9122,12.07M,-0.09%
"Sep 02, 2022",0.9304,0.9415,0.9586,0.9164,21.07M,-1.18%
"Sep 01, 2022",0.9415,0.9428,0.9485,0.9076,22.13M,-0.13%
"Aug 31, 2022",0.9428,0.9522,0.9802,0.9367,24.20M,-0.91%
"Aug 30, 2022",0.9514,0.9878,1.0005,0.9336,23.98M,-3.69%
"Aug 29, 2022",0.9878,0.9315,0.9919,0.9169,27.90M,6.07%
"Aug 28, 2022",0.9313,0.9662,0.9801,0.9282,22.76M,-3.61%
"Aug 27, 2022",0.9662,0.9583,0.972,0.9357,26.82M,0.82%
"Aug 26, 2022",0.9583,1.0492,1.0592,0.9477,42.99M,-8.73%
"Aug 25, 2022",1.0499,1.0453,1.0719,1.0337,22.22M,0.44%
"Aug 24, 2022",1.0453,1.067,1.0735,1.0286,23.12M,-2.03%
"Aug 23, 2022",1.067,1.0517,1.0761,1.0178,26.54M,1.46%
"Aug 22, 2022",1.0517,1.0711,1.0726,1.0109,35.52M,-1.81%
"Aug 21, 2022",1.0711,1.0388,1.0845,1.0301,24.31M,3.11%
"Aug 20, 2022",1.0388,1.0441,1.0785,1.0075,38.19M,-0.50%
"Aug 19, 2022",1.0441,1.1533,1.1558,1.037,49.87M,-9.47%
"Aug 18, 2022",1.1533,1.217,1.2395,1.1234,38.03M,-5.23%
"Aug 17, 2022",1.2169,1.2704,1.3131,1.2081,38.40M,-4.21%
"Aug 16, 2022",1.2704,1.3096,1.3227,1.2599,33.98M,-2.99%
"Aug 15, 2022",1.3096,1.3415,1.3994,1.2817,48.16M,-2.38%
"Aug 14, 2022",1.3415,1.3257,1.4237,1.3125,61.32M,1.20%
"Aug 13, 2022",1.3257,1.3318,1.388,1.319,34.62M,-0.46%
"Aug 12, 2022",1.3318,1.3241,1.3345,1.2876,24.35M,0.58%
"Aug 11, 2022",1.3241,1.3461,1.3691,1.3154,33.71M,-1.64%
"Aug 10, 2022",1.3461,1.2922,1.3492,1.258,34.55M,4.18%
"Aug 09, 2022",1.2922,1.3488,1.383,1.268,32.09M,-4.26%
"Aug 08, 2022",1.3496,1.3185,1.3903,1.3149,32.82M,2.36%
"Aug 07, 2022",1.3185,1.3193,1.343,1.2914,13.88M,-0.06%
"Aug 06, 2022",1.3193,1.3477,1.3728,1.3116,17.87M,-2.11%
"Aug 05, 2022",1.3477,1.2964,1.3533,1.2909,25.79M,3.96%
"Aug 04, 2022",1.2964,1.2597,1.3433,1.2582,27.89M,2.91%
"Aug 03, 2022",1.2597,1.2706,1.3165,1.2291,24.67M,-0.85%
"Aug 02, 2022",1.2706,1.324,1.3464,1.2447,31.59M,-4.03%
"Aug 01, 2022",1.3239,1.3073,1.3475,1.2731,28.47M,1.21%
"Jul 31, 2022",1.3081,1.3372,1.3854,1.2961,29.18M,-2.17%
"Jul 30, 2022",1.3372,1.329,1.4306,1.3116,41.47M,0.61%
"Jul 29, 2022",1.329,1.356,1.4056,1.2957,42.71M,-1.99%
"Jul 28, 2022",1.356,1.3151,1.3901,1.2653,42.49M,3.10%
"Jul 27, 2022",1.3152,1.1827,1.3171,1.1529,32.13M,11.20%
"Jul 26, 2022",1.1827,1.2021,1.206,1.129,29.40M,-1.62%
"Jul 25, 2022",1.2021,1.3384,1.3453,1.2011,33.08M,-10.18%
"Jul 24, 2022",1.3384,1.3455,1.3814,1.3227,26.79M,-0.53%
"Jul 23, 2022",1.3456,1.327,1.378,1.2972,29.20M,1.40%
"Jul 22, 2022",1.327,1.3814,1.4324,1.3189,38.49M,-3.94%
"Jul 21, 2022",1.3814,1.3277,1.3953,1.2763,46.66M,4.05%
"Jul 20, 2022",1.3277,1.4224,1.4913,1.3067,61.16M,-6.66%
"Jul 19, 2022",1.4224,1.383,1.4703,1.3403,83.07M,2.80%
"Jul 18, 2022",1.3836,1.1801,1.3977,1.1779,84.77M,17.24%
"Jul 17, 2022",1.1801,1.2529,1.2654,1.1774,32.82M,-5.81%
"Jul 16, 2022",1.2529,1.2065,1.2672,1.1955,40.98M,3.85%
"Jul 15, 2022",1.2065,1.2037,1.2312,1.1702,41.11M,0.23%
"Jul 14, 2022",1.2037,1.1697,1.2175,1.1186,51.80M,3.03%
"Jul 13, 2022",1.1684,1.0898,1.1722,1.0539,46.66M,7.20%
"Jul 12, 2022",1.0899,1.0959,1.1535,1.0872,37.70M,-0.54%
"Jul 11, 2022",1.0958,1.1625,1.1638,1.0851,35.86M,-5.73%
"Jul 10, 2022",1.1624,1.2257,1.2273,1.1485,20.34M,-5.16%
"Jul 09, 2022",1.2257,1.221,1.2453,1.2157,19.36M,0.37%
"Jul 08, 2022",1.2211,1.2818,1.3108,1.2044,42.00M,-4.74%
"Jul 07, 2022",1.2819,1.2622,1.3161,1.2381,47.52M,1.56%
"Jul 06, 2022",1.2622,1.1847,1.2827,1.1538,64.97M,6.62%
"Jul 05, 2022",1.1838,1.2012,1.23,1.1067,56.55M,-1.45%
"Jul 04, 2022",1.2012,1.0443,1.2206,1.0356,58.21M,15.01%
"Jul 03, 2022",1.0444,1.0429,1.0533,1.0081,21.38M,0.14%
"Jul 02, 2022",1.0429,1.068,1.0801,1.0063,30.75M,-2.35%
"Jul 01, 2022",1.0681,1.1238,1.1707,1.0583,69.27M,-5.16%
"Jun 30, 2022",1.1262,1.0608,1.1374,0.9574,61.31M,6.19%
"Jun 29, 2022",1.0606,1.0833,1.1011,1.0239,43.96M,-2.09%
"Jun 28, 2022",1.0832,1.1856,1.2228,1.0732,48.13M,-8.64%
"Jun 27, 2022",1.1856,1.1785,1.2625,1.1478,52.76M,0.60%
"Jun 26, 2022",1.1786,1.2777,1.3478,1.1728,67.34M,-7.75%
"Jun 25, 2022",1.2776,1.0985,1.3286,1.0779,94.19M,16.35%
"Jun 24, 2022",1.0981,1.0132,1.1259,1.012,53.98M,8.37%
"Jun 23, 2022",1.0132,0.9367,1.0296,0.9359,60.00M,8.18%
"Jun 22, 2022",0.9366,0.9115,1.0126,0.8644,71.96M,2.76%
"Jun 21, 2022",0.9115,0.8682,0.9625,0.8527,63.62M,4.98%
"Jun 20, 2022",0.8683,0.8547,0.8887,0.8081,42.48M,1.59%
"Jun 19, 2022",0.8546,0.7976,0.865,0.7618,53.35M,7.15%
"Jun 18, 2022",0.7976,0.8585,0.8696,0.736,59.86M,-7.01%
"Jun 17, 2022",0.8578,0.8349,0.8887,0.8254,38.83M,2.75%
"Jun 16, 2022",0.8349,0.9617,0.9762,0.8184,61.22M,-13.19%
"Jun 15, 2022",0.9617,0.8854,0.9641,0.789,96.80M,8.59%
"Jun 14, 2022",0.8856,0.8556,0.9468,0.78,94.31M,3.90%
"Jun 13, 2022",0.8523,0.9436,0.9534,0.7895,122.09M,-9.67%
"Jun 12, 2022",0.9436,1.0755,1.0844,0.9435,61.89M,-12.26%
"Jun 11, 2022",1.0755,1.1972,1.2154,1.0543,41.63M,-10.16%
"Jun 10, 2022",1.1971,1.2895,1.2992,1.1926,27.40M,-7.13%
"Jun 09, 2022",1.289,1.2889,1.3229,1.2797,17.24M,0.01%
"Jun 08, 2022",1.2889,1.3111,1.334,1.278,20.93M,-1.69%
"Jun 07, 2022",1.3111,1.3483,1.3487,1.261,29.11M,-2.77%
"Jun 06, 2022",1.3484,1.2993,1.3951,1.2903,34.15M,3.78%
"Jun 05, 2022",1.2993,1.2963,1.3106,1.2707,14.00M,0.23%
"Jun 04, 2022",1.2963,1.2939,1.3078,1.2549,17.44M,0.18%
"Jun 03, 2022",1.2939,1.3677,1.3699,1.2686,24.53M,-5.40%
"Jun 02, 2022",1.3677,1.3243,1.3736,1.2974,28.20M,3.28%
"Jun 01, 2022",1.3243,1.4509,1.4599,1.2903,44.25M,-8.73%
"May 31, 2022",1.4509,1.438,1.5235,1.3796,55.65M,0.90%
"May 30, 2022",1.4379,1.3117,1.4681,1.296,47.86M,9.62%
"May 29, 2022",1.3117,1.3019,1.3144,1.2566,28.02M,0.75%
"May 28, 2022",1.3019,1.2894,1.3302,1.2673,36.69M,0.97%
"May 27, 2022",1.2894,1.362,1.3811,1.2562,75.96M,-5.03%
"May 26, 2022",1.3578,1.3878,1.5128,1.2559,146.15M,-2.11%
"May 25, 2022",1.387,1.3099,1.4184,1.2358,73.73M,5.89%
"May 24, 2022",1.3099,1.2953,1.3278,1.2269,34.43M,1.14%
"May 23, 2022",1.2951,1.3802,1.4588,1.2715,44.99M,-6.18%
"May 22, 2022",1.3804,1.3248,1.3972,1.3135,31.04M,4.20%
"May 21, 2022",1.3248,1.2729,1.3437,1.2465,29.07M,4.04%
"May 20, 2022",1.2734,1.2963,1.3836,1.2198,53.91M,-1.78%
"May 19, 2022",1.2964,1.1922,1.3463,1.1412,46.69M,8.73%
"May 18, 2022",1.1922,1.373,1.3938,1.184,37.32M,-13.17%
"May 17, 2022",1.3731,1.3146,1.4056,1.2881,30.82M,4.47%
"May 16, 2022",1.3144,1.4578,1.458,1.2835,41.72M,-9.84%
"May 15, 2022",1.4578,1.4346,1.4578,1.3119,47.74M,1.62%
"May 14, 2022",1.4346,1.2724,1.5181,1.1965,116.24M,12.74%
"May 13, 2022",1.2724,1.1116,1.5199,1.1049,150.18M,14.46%
"May 12, 2022",1.1116,1.3175,1.4076,0.9688,161.91M,-15.62%
"May 11, 2022",1.3175,1.7239,1.7869,1.0591,146.64M,-23.57%
"May 10, 2022",1.7237,1.694,1.9311,1.6382,73.89M,1.69%
"May 09, 2022",1.6951,2.0011,2.0388,1.6939,69.81M,-15.29%
"May 08, 2022",2.0011,1.9431,2.0514,1.8918,37.14M,2.98%
"May 07, 2022",1.9431,2.0567,2.0682,1.8834,25.78M,-5.52%
"May 06, 2022",2.0567,2.1246,2.1442,1.9881,34.27M,-3.20%
"May 05, 2022",2.1246,2.4363,2.4547,2.0859,44.16M,-12.73%
"May 04, 2022",2.4345,2.1317,2.456,2.1169,41.68M,14.26%
"May 03, 2022",2.1308,2.1123,2.3013,2.0832,47.92M,0.87%
"May 02, 2022",2.1123,2.145,2.1849,2.0139,45.71M,-1.53%
"May 01, 2022",2.145,1.9622,2.1954,1.9265,61.72M,9.32%
"Apr 30, 2022",1.9622,2.3034,2.344,1.8411,43.82M,-14.81%
"Apr 29, 2022",2.3033,2.5044,2.5206,2.2278,37.40M,-8.03%
"Apr 28, 2022",2.5045,2.5296,2.5745,2.4636,26.23M,-0.99%
"Apr 27, 2022",2.5295,2.4794,2.5746,2.4376,24.12M,2.02%
"Apr 26, 2022",2.4794,2.7145,2.747,2.4441,32.44M,-8.66%
"Apr 25, 2022",2.7145,2.7704,2.7746,2.5694,42.18M,-2.02%
"Apr 24, 2022",2.7704,2.6913,2.8325,2.6603,19.51M,2.94%
"Apr 23, 2022",2.6913,2.7451,2.7598,2.674,14.65M,-1.97%
"Apr 22, 2022",2.7453,2.7577,2.8148,2.7099,25.09M,-0.45%
"Apr 21, 2022",2.7578,2.8609,2.9451,2.6968,33.96M,-3.61%
"Apr 20, 2022",2.8609,2.9219,3.0948,2.8082,50.78M,-2.08%
"Apr 19, 2022",2.9216,2.7437,3.0196,2.7162,52.48M,6.48%
"Apr 18, 2022",2.7437,2.6778,2.7765,2.5543,29.56M,2.35%
"Apr 17, 2022",2.6807,2.8201,2.8214,2.659,17.20M,-4.94%
"Apr 16, 2022",2.8201,2.8041,2.907,2.7686,16.65M,0.59%
"Apr 15, 2022",2.8036,2.7806,2.8207,2.7478,12.45M,0.83%
"Apr 14, 2022",2.7805,2.8666,2.9181,2.7082,26.43M,-3.01%
"Apr 13, 2022",2.8666,2.7767,2.8886,2.7422,19.99M,3.25%
"Apr 12, 2022",2.7764,2.6755,2.8248,2.6628,29.63M,3.90%
"Apr 11, 2022",2.6722,2.8805,2.907,2.6485,33.36M,-7.23%
"Apr 10, 2022",2.8805,3.0039,3.0268,2.8704,14.60M,-4.15%
"Apr 09, 2022",3.0051,2.9018,3.0079,2.8977,13.17M,3.56%
"Apr 08, 2022",2.9018,3.0783,3.1169,2.8705,21.93M,-5.74%
"Apr 07, 2022",3.0785,2.9598,3.098,2.8998,26.46M,4.02%
"Apr 06, 2022",2.9595,3.333,3.3354,2.9522,48.72M,-11.20%
"Apr 05, 2022",3.3328,3.4656,3.4937,3.3206,24.05M,-3.88%
"Apr 04, 2022",3.4672,3.54,3.5635,3.3146,30.42M,-2.06%
"Apr 03, 2022",3.54,3.4546,3.5949,3.3842,27.31M,2.50%
"Apr 02, 2022",3.4536,3.5099,3.6711,3.4275,45.24M,-1.59%
"Apr 01, 2022",3.5093,3.3864,3.5527,3.2471,42.51M,3.64%
"Mar 31, 2022",3.386,3.5202,3.8463,3.331,62.55M,-3.81%
"Mar 30, 2022",3.5202,3.5078,3.5999,3.3706,36.96M,0.35%
"Mar 29, 2022",3.5078,3.4625,3.6463,3.42,38.15M,1.37%
"Mar 28, 2022",3.4602,3.5775,3.684,3.4302,44.85M,-3.28%
"Mar 27, 2022",3.5775,3.3971,3.5897,3.3138,30.13M,5.31%
"Mar 26, 2022",3.3972,3.3688,3.4114,3.3173,17.20M,0.84%
"Mar 25, 2022",3.3688,3.4752,3.5869,3.3405,44.81M,-3.01%
"Mar 24, 2022",3.4734,3.2997,3.5184,3.2932,59.74M,5.26%
"Mar 23, 2022",3.2997,3.1175,3.3373,3.0664,40.65M,5.84%
"Mar 22, 2022",3.1175,3.0757,3.1984,3.0517,27.85M,1.34%
"Mar 21, 2022",3.0765,3.086,3.1306,2.9976,28.40M,-0.31%
